num_symbols,initial_investment,symbols,start_date_insample,end_date_insample,profit_insample,spy_profits_insample,annualized_sharpe_ratio_insample,alpha_insample,beta_insample,r-squared_insample,treynors_ratio_insample,information_ratio_insample,start_date_outsample,end_date_outsample,profit_outsample,spy_profits_outsample,annualized_sharpe_ratio_outsample,alpha_outsample,beta_outsample,r-squared_outsample,treynors_ratio_outsample,information_ratio_outsample
5,1000000,"{'Industrials': ['CSX', 'LUV', 'DOV', 'NLSN', 'FLS'], 'Health Care': ['SYK', 'DVA', 'REGN', 'VAR', 'CI'], 'Information Technology': ['V', 'MA', 'ORCL', 'FLIR', 'ADP'], 'Communication Services': ['GOOGL', 'T', 'DISCA', 'DISCK', 'ATVI'], 'Consumer Discretionary': ['APTV', 'UAA', 'BWA', 'MHK', 'CCL'], 'Utilities': ['ETR', 'WEC', 'AES', 'XEL', 'PEG'], 'Financials': ['ETFC', 'PFG', 'KEY', 'MMC', 'WFC'], 'Materials': ['MLM', 'EMN', 'LYB', 'IP', 'FMC'], 'Consumer Staples': ['MDLZ', 'KMB', 'HRL', 'GIS', 'WBA'], 'Real Estate': ['CCI', 'HST', 'ESS', 'AIV', 'SLG'], 'Energy': ['PXD', 'WMB', 'OXY', 'COG', 'MPC']}",2017-01-01,2019-01-01,2163241.2687766505,152629.36098455172,2.6461325900383863,0.002111653387170436,0.4778565024335361,0.09003801693892555,0.004537564422959135,0.17017745960527625,2019-01-01,2020-01-01,475832.78818318713,310874.82947136625,1.21557773985784,0.001548494131656727,-0.0415734193643098,0.0002769569546019479,-0.03633545622673421,0.07850653634429587
5,1000000,"{'Industrials': ['MMM', 'JCI', 'SWK', 'ROP', 'UPS'], 'Health Care': ['CVS', 'BDX', 'AMGN', 'CI', 'ISRG'], 'Information Technology': ['ACN', 'MU', 'NLOK', 'ADP', 'V'], 'Communication Services': ['IPG', 'DISCA', 'GOOG', 'VZ', 'FB'], 'Consumer Discretionary': ['F', 'RCL', 'GPS', 'GRMN', 'HD'], 'Utilities': ['WEC', 'DTE', 'CMS', 'NRG', 'CNP'], 'Financials': ['SYF', 'RF', 'ETFC', 'TRV', 'ALL'], 'Materials': ['NUE', 'VMC', 'FMC', 'PPG', 'SHW'], 'Consumer Staples': ['MO', 'CHD', 'CL', 'TAP', 'WBA'], 'Real Estate': ['O', 'ESS', 'BXP', 'VTR', 'PLD'], 'Energy': ['WMB', 'MRO', 'CVX', 'EOG', 'HAL']}",2017-01-01,2019-01-01,3144820.87950525,152629.36098455172,2.7878719819685203,0.0023875629844065595,0.8830931193075141,0.25835781208524555,0.002822189626974001,0.19536082859830087,2019-01-01,2020-01-01,877896.9545976685,310874.82947136625,1.3376754534705215,0.0010009411156734096,1.2429973841473894,0.1501954909007418,0.0017170238473784394,0.042869948248736786
5,1000000,"{'Industrials': ['J', 'RSG', 'AAL', 'VRSK', 'CTAS'], 'Health Care': ['XRAY', 'ILMN', 'JNJ', 'MDT', 'CAH'], 'Information Technology': ['APH', 'ORCL', 'AMAT', 'ADBE', 'MSFT'], 'Communication Services': ['GOOG', 'T', 'DISCK', 'GOOGL', 'DIS'], 'Consumer Discretionary': ['GRMN', 'ORLY', 'GPS', 'HD', 'LEN'], 'Utilities': ['EIX', 'CMS', 'SO', 'AEE', 'ETR'], 'Financials': ['ICE', 'KEY', 'CMA', 'AXP', 'AMP'], 'Materials': ['FMC', 'NUE', 'CF', 'IFF', 'VMC'], 'Consumer Staples': ['KHC', 'MO', 'CPB', 'HRL', 'MDLZ'], 'Real Estate': ['KIM', 'IRM', 'EQR', 'ESS', 'CCI'], 'Energy': ['EOG', 'CVX', 'XOM', 'OKE', 'MRO']}",2017-01-01,2019-01-01,7712109.037457481,152629.36098455172,1.6576795901499473,0.00096792150352996,0.6091987338500809,0.2495633084437481,0.0017073964974789256,0.11217344297395246,2019-01-01,2020-01-01,3699496.989830722,310874.82947136625,-0.20879923112306886,-0.0005563049226493526,0.4063223176267079,0.05157566179418238,-0.0004573624514455406,-0.040430489415472684
5,1000000,"{'Industrials': ['UAL', 'FLS', 'GWW', 'PWR', 'CTAS'], 'Health Care': ['ALXN', 'ZTS', 'DGX', 'LLY', 'VAR'], 'Information Technology': ['JNPR', 'NLOK', 'VRSN', 'AAPL', 'LRCX'], 'Communication Services': ['CMCSA', 'T', 'NFLX', 'VZ', 'DIS'], 'Consumer Discretionary': ['CCL', 'F', 'BWA', 'AZO', 'GPC'], 'Utilities': ['ETR', 'AEE', 'SO', 'NEE', 'DTE'], 'Financials': ['GS', 'ETFC', 'WFC', 'C', 'CME'], 'Materials': ['SHW', 'APD', 'IP', 'LYB', 'FMC'], 'Consumer Staples': ['CPB', 'BF.B', 'KHC', 'MO', 'COST'], 'Real Estate': ['SPG', 'HST', 'PLD', 'PEAK', 'VTR'], 'Energy': ['XOM', 'CVX', 'MRO', 'PSX', 'APA']}",2017-01-01,2019-01-01,2367929.945039055,152629.36098455172,3.2706739615608544,0.002271839255944741,0.8001796066337686,0.323750400259171,0.002957714561720668,0.2405012477481025,2019-01-01,2020-01-01,66844.56975760055,310874.82947136625,0.32214447877222835,0.0001513929232349132,0.3302909305024454,0.013680149903720684,0.0013701221292939925,0.006835828850504235
5,1000000,"{'Industrials': ['EMR', 'EXPD', 'MMM', 'BA', 'NLSN'], 'Health Care': ['BSX', 'LH', 'LLY', 'ZBH', 'CERN'], 'Information Technology': ['AVGO', 'PYPL', 'FIS', 'HPQ', 'FISV'], 'Communication Services': ['T', 'IPG', 'NWSA', 'DIS', 'VZ'], 'Consumer Discretionary': ['VFC', 'TJX', 'HBI', 'GRMN', 'KMX'], 'Utilities': ['SO', 'DUK', 'ETR', 'EXC', 'XEL'], 'Financials': ['PFG', 'IVZ', 'NDAQ', 'PRU', 'AON'], 'Materials': ['APD', 'LYB', 'SHW', 'AVY', 'ECL'], 'Consumer Staples': ['PEP', 'MDLZ', 'COST', 'CHD', 'STZ'], 'Real Estate': ['PSA', 'VTR', 'AVB', 'EQR', 'IRM'], 'Energy': ['APA', 'FTI', 'MRO', 'KMI', 'NBL']}",2017-01-01,2019-01-01,2519191.862141836,152629.36098455172,2.5966615675461004,0.0022902592351361282,0.9212441939164374,0.2631454988504247,0.00260460302310876,0.18188318402936726,2019-01-01,2020-01-01,176619.23504098968,310874.82947136625,0.4550592572388306,0.00033040991756634787,0.40936136332576417,0.01734384197962402,0.001718894872988433,0.013578875337770469
5,1000000,"{'Industrials': ['LUV', 'URI', 'PH', 'UNP', 'CHRW'], 'Health Care': ['AMGN', 'HSIC', 'REGN', 'EW', 'LLY'], 'Information Technology': ['JNPR', 'ADI', 'V', 'ADBE', 'AVGO'], 'Communication Services': ['CTL', 'NWS', 'GOOG', 'T', 'ATVI'], 'Consumer Discretionary': ['TIF', 'DG', 'HRB', 'MCD', 'BBY'], 'Utilities': ['XEL', 'AES', 'AEP', 'WEC', 'CMS'], 'Financials': ['IVZ', 'GL', 'BRK.B', 'CMA', 'CINF'], 'Materials': ['PPG', 'APD', 'LYB', 'NUE', 'FMC'], 'Consumer Staples': ['MDLZ', 'MO', 'SYY', 'STZ', 'WMT'], 'Real Estate': ['CCI', 'BXP', 'AVB', 'PLD', 'EQIX'], 'Energy': ['CVX', 'HAL', 'XOM', 'SLB', 'NBL']}",2017-01-01,2019-01-01,3054753.9570138636,152629.36098455172,1.839067493979584,0.0008286309319229652,0.6972404289059175,0.5241973273403749,0.0013069965164874285,0.1527172548237904,2019-01-01,2020-01-01,1769200.3508707276,310874.82947136625,1.0841367353043685,4.828961327334682e-05,0.4483171441337358,0.2798496841195165,0.0010194728550401203,0.008502857995583063
5,1000000,"{'Industrials': ['VRSK', 'CHRW', 'PNR', 'ROP', 'ALLE'], 'Health Care': ['JNJ', 'MYL', 'GILD', 'VAR', 'UHS'], 'Information Technology': ['NVDA', 'ADSK', 'LRCX', 'FLIR', 'AVGO'], 'Communication Services': ['T', 'DISCK', 'NWS', 'CMCSA', 'VZ'], 'Consumer Discretionary': ['TIF', 'TGT', 'YUM', 'AAP', 'RCL'], 'Utilities': ['XEL', 'ETR', 'AEP', 'PEG', 'SO'], 'Financials': ['CME', 'COF', 'KEY', 'NDAQ', 'BRK.B'], 'Materials': ['ECL', 'SEE', 'LIN', 'LYB', 'PPG'], 'Consumer Staples': ['CPB', 'KR', 'EL', 'STZ', 'COST'], 'Real Estate': ['CBRE', 'ESS', 'AVB', 'KIM', 'HST'], 'Energy': ['OKE', 'XOM', 'PXD', 'FTI', 'EOG']}",2017-01-01,2019-01-01,1808183.6108867647,152629.36098455172,2.871901634667723,0.0017480907522098381,0.63447191126265,0.2644183443427104,0.0028737430442745595,0.20223554393603527,2019-01-01,2020-01-01,142470.27533166882,310874.82947136625,0.2750505368497553,-0.00010622946697896964,0.4625917544062068,0.04023568890247842,0.0006821200147077165,-0.005954101729274382
5,1000000,"{'Industrials': ['GD', 'HWM', 'ALLE', 'DAL', 'UNP'], 'Health Care': ['UNH', 'VRTX', 'BIIB', 'MRK', 'CI'], 'Information Technology': ['NVDA', 'ADP', 'ADSK', 'STX', 'APH'], 'Communication Services': ['NFLX', 'GOOG', 'DISCA', 'EA', 'ATVI'], 'Consumer Discretionary': ['NKE', 'RL', 'GM', 'VFC', 'HAS'], 'Utilities': ['AEP', 'NRG', 'DTE', 'NEE', 'CNP'], 'Financials': ['BRK.B', 'AIZ', 'MMC', 'DFS', 'ICE'], 'Materials': ['IFF', 'NUE', 'APD', 'LYB', 'BLL'], 'Consumer Staples': ['CAG', 'CHD', 'STZ', 'CPB', 'KMB'], 'Real Estate': ['PSA', 'ESS', 'HST', 'KIM', 'VTR'], 'Energy': ['WMB', 'PSX', 'MPC', 'KMI', 'DVN']}",2017-01-01,2019-01-01,3466449.9440422775,152629.36098455172,3.2597317968325603,0.0022178059558474426,0.6176725498780872,0.20448715845694965,0.003709138171574004,0.222869292040147,2019-01-01,2020-01-01,12918.172268405207,310874.82947136625,-0.4741555622171577,-0.0008223430336662764,-0.039576259565750935,0.00011825306582247119,0.021690454965529,-0.02861513962689397
5,1000000,"{'Industrials': ['CTAS', 'FLS', 'XYL', 'DOV', 'J'], 'Health Care': ['VAR', 'PKI', 'ZTS', 'LLY', 'HSIC'], 'Information Technology': ['ADP', 'AMAT', 'CTSH', 'WU', 'NTAP'], 'Communication Services': ['GOOGL', 'NWSA', 'IPG', 'ATVI', 'GOOG'], 'Consumer Discretionary': ['RCL', 'RL', 'ORLY', 'LB', 'HD'], 'Utilities': ['WEC', 'EIX', 'XEL', 'CNP', 'ETR'], 'Financials': ['AXP', 'C', 'CB', 'ALL', 'TRV'], 'Materials': ['BLL', 'LIN', 'FMC', 'ECL', 'IP'], 'Consumer Staples': ['PM', 'MDLZ', 'COST', 'PG', 'MNST'], 'Real Estate': ['VTR', 'AIV', 'AMT', 'BXP', 'KIM'], 'Energy': ['CVX', 'COP', 'HAL', 'DVN', 'WMB']}",2017-01-01,2019-01-01,1170416.4737783442,152629.36098455172,2.125823873735552,0.0012809158970240324,0.7926366138301935,0.3976657848168512,0.0017345719941485908,0.16075422596853656,2019-01-01,2020-01-01,-141619.81505011034,310874.82947136625,-0.7726040158513621,-0.0012451263537213509,0.5508721743726501,0.0812280211525217,-0.0013485220160457253,-0.08510544920465195
5,1000000,"{'Industrials': ['NLSN', 'RHI', 'CSX', 'DAL', 'CAT'], 'Health Care': ['UHS', 'DVA', 'MYL', 'A', 'CVS'], 'Information Technology': ['MSFT', 'NLOK', 'VRSN', 'HPE', 'FISV'], 'Communication Services': ['DIS', 'T', 'IPG', 'NWSA', 'ATVI'], 'Consumer Discretionary': ['TGT', 'DLTR', 'GPS', 'GM', 'UAA'], 'Utilities': ['ETR', 'AES', 'WEC', 'XEL', 'NEE'], 'Financials': ['SCHW', 'WFC', 'CMA', 'GL', 'BAC'], 'Materials': ['LYB', 'IP', 'NEM', 'MLM', 'APD'], 'Consumer Staples': ['CLX', 'PEP', 'PM', 'HSY', 'MDLZ'], 'Real Estate': ['BXP', 'O', 'KIM', 'PLD', 'AIV'], 'Energy': ['COP', 'PXD', 'HES', 'APA', 'DVN']}",2017-01-01,2019-01-01,2211446.4555887347,152629.36098455172,2.737151094014433,0.001962743204885492,0.7890431017672277,0.2920653597930466,0.002606050992449902,0.19560581678458644,2019-01-01,2020-01-01,310532.7014895845,310874.82947136625,0.7083079652718771,0.00020912810295846835,0.5520400368793553,0.07453792975365159,0.0012905875733466214,0.01361434920129754
